Total general,Total Región Distrito Nacional,Total 0 - Santo Domingo,Distrito Nacional,Monte Plata,Santo Domingo,Total Región Este,Total V - Este,El Seybo,Hato Mayor del Rey,La Altagracia,La Romana,San Pedro de Macorís,Total Región Norte,Total II - Norcentral,Espaillat,Puerto Plata,Santiago,Total III - Nordeste,Duarte,Hermanas Mirabal,Maria Trinidad Sanchez,Samaná,Total VII - Cibao Occidental,Dajabon,Montecristi,Santiago Rodriguez,Valverde,Total VIII - Cibao Central,La vega,Monseñor Nouel,Sanchez Ramirez,Total Región Sur,Total I - Valdesia,Peravia,San Cristóbal,San José de Ocoa,Total IV - Enriquillo,Bahoruco,Barahona,Independencia,Pedernales,Total VI - El Valle,Azua,Elias Piña,San Juan de la Maguana,No Especificada,Month,Year,Periodo de Cobertura
1208042,539284,539284,465980,6574,66730,92472,92472,3752,4772,23157,33610,27181,245531,153132,13148,27269,112715,29302,16535,4409,5270,3088,19607,3789,4552,3188,8078,43490,23459,12908,7123,94379,54153,7858,2487,43808,18170,4116,9622,2943,1489,22056,8241,2588,11227,236376,9,2007,2007-09-01
1384810,587603,587603,499132,11801,76670,103732,103732,5053,7034,24945,35477,31223,308771,176819,17202,33008,126609,44672,23106,7820,8553,5193,28449,5588,6726,4974,11161,58831,30705,16479,11647,129032,66037,9744,4284,52009,28950,7034,15080,4753,2083,34045,12742,4085,17218,255672,10,2007,2007-10-01
1421975,599612,599612,507251,11842,80519,105679,105679,5096,7171,25119,35771,32522,320150,184693,17669,34016,133008,45428,23605,8075,8581,5167,29201,5643,6947,5065,11546,60828,31653,17036,12139,133267,68957,10176,4405,54376,29563,7218,15427,4845,2073,34747,12924,4181,17642,263267,11,2007,2007-11-01
1477181,620697,620697,524595,12589,83513,109869,109869,5341,7690,24967,37490,34381,331903,188414,18630,34533,135251,47828,25120,8283,9005,5420,30317,5900,7278,5209,11930,65344,35007,17634,12703,138550,71184,10525,4615,56044,30787,7628,15987,5050,2122,36579,13818,4368,18393,276162,12,2007,2007-12-01
1485499,623725,623725,526446,12762,84517,113761,113761,5708,7877,26538,38468,35170,335516,191242,18855,35450,136937,48342,25548,8339,8958,5497,30131,5908,7191,5167,11865,65801,35195,17814,12792,139618,72244,10720,4599,56925,30767,7491,16055,5049,2172,36607,13737,4384,18486,272879,1,2008,2008-01-01
1497613,630263,630263,532109,12516,85638,115547,115547,5584,7877,27063,38893,36130,338183,192258,19136,36219,136903,49272,26034,8489,9137,5612,30507,6002,7283,5112,12110,66146,34883,18165,13098,140627,72863,10680,4645,57538,30998,7429,16386,5003,2180,36766,13798,4409,18559,272993,2,2008,2008-02-01
1529018,640116,640116,540129,13022,86965,116799,116799,5768,8082,27279,39026,36644,346047,197037,19423,36528,141086,49661,26345,8608,8998,5710,31078,6095,7441,5260,12282,68271,36493,18543,13235,144006,75265,10855,4707,59703,31408,7489,16587,5165,2167,37333,13995,4460,18878,282050,3,2008,2008-03-01
1564920,647091,647091,545466,13179,88446,119440,119440,5982,8149,27399,40372,37538,352066,201219,20146,37127,143946,50448,26708,8800,9220,5720,31366,6082,7512,5295,12477,69033,36866,18704,13463,144657,75230,10883,4797,59550,31633,7570,16706,5174,2183,37794,14131,4494,19169,301666,4,2008,2008-04-01
1585022,656888,656888,553446,13191,90251,122542,122542,6180,8223,27877,41089,39173,361746,206848,20685,37873,148290,51862,27392,9136,9528,5806,32316,6240,7750,5464,12862,70720,37293,19414,14013,148468,77204,11152,4877,61175,32288,7682,17123,5301,2182,38976,14568,4637,19771,295378,5,2008,2008-05-01
1627155,671644,671644,564192,13998,93454,123585,123585,6310,8529,27947,41037,39762,372089,211629,21650,38437,151542,53335,28182,9420,9895,5838,33549,6433,8137,5673,13306,73576,39455,19633,14488,153921,79497,11629,5120,62748,33900,8137,17896,5516,2351,40524,15160,4799,20565,305916,6,2008,2008-06-01
1651943,679400,679400,570278,13815,95307,127302,127302,6493,8510,28541,42451,41307,378567,216157,22494,38958,154705,54604,28755,9645,10268,5936,34227,6529,8184,5786,13728,73579,39458,19248,14873,156102,80678,11956,5198,63524,34299,8208,18094,5574,2423,41125,15456,4841,20828,310572,7,2008,2008-07-01
1660516,675706,675706,565725,13777,96204,124851,124851,6302,8226,28202,41668,40453,383053,220050,22530,39584,157936,55845,29733,9745,10421,5946,34917,6561,8450,5795,14111,72241,38788,18597,14856,157115,81037,11924,5242,63871,34327,8255,18089,5573,2410,41751,15862,4883,21006,319791,8,2008,2008-08-01
1661072,675662,675662,564951,13777,96934,125544,125544,6489,8484,28095,42217,40259,386133,221545,23016,39531,158998,55923,29608,9831,10479,6005,35536,6599,8543,5865,14529,73129,39179,19007,14943,156443,80274,11945,5258,63071,34266,8212,17970,5661,2423,41903,15957,4945,21001,317290,9,2008,2008-09-01
1684348,687173,687173,573658,14351,99164,128783,128783,6756,8848,28168,43154,41857,392787,224651,23589,39703,161359,56624,29968,9952,10654,6050,36196,6766,8601,5900,14929,75316,40683,19402,15231,159849,82453,12332,5356,64765,34644,8278,18219,5691,2456,42752,16266,4998,21488,315756,10,2008,2008-10-01
1688779,685540,685540,571670,14179,99691,125766,125766,6701,8722,27237,42477,40629,393493,225586,23943,39232,162411,57293,30430,10104,10828,5931,36947,7020,8739,5955,15233,73667,38942,19267,15458,161261,83257,12532,5393,65332,34832,8320,18371,5693,2448,43172,16406,5023,21743,322719,11,2008,2008-11-01
1692259,686660,686660,572297,14256,100107,127158,127158,6831,8753,27354,43378,40842,396414,226810,24108,39764,162938,58128,30892,10199,10940,6097,37304,7038,8889,6011,15366,74172,39129,19525,15518,161320,83102,12569,5515,65018,34909,8355,18396,5709,2449,43309,16434,5028,21847,320707,12,2008,2008-12-01
1732143,703573,703573,585811,14976,102786,132678,132678,7015,9161,29278,45364,41860,405722,230538,25097,40065,165376,59541,31709,10376,11320,6136,38218,7183,8997,6126,15912,77425,40930,20483,16012,165419,85250,12985,5657,66608,35674,8580,18816,5817,2461,44495,16857,5083,22555,324751,1,2009,2009-01-01
1753062,709667,709667,590504,14627,104536,137023,137023,7267,9194,30105,46845,43612,411004,233754,25343,41583,166828,60548,32195,10486,11486,6381,38519,7238,9122,6206,15953,78183,41073,20967,16143,167320,86429,13274,5758,67397,36059,8626,19084,5868,2481,44832,16980,5095,22757,328048,2,2009,2009-02-01
1771270,714394,714394,593030,15204,106160,139495,139495,7466,9503,30428,47999,44099,417461,236904,25795,41079,170030,62086,33117,10683,11854,6432,38802,7237,9191,6281,16093,79669,42916,20344,16409,169666,87819,13838,5709,68272,36254,8709,19126,5890,2529,45593,17455,5134,23004,330254,3,2009,2009-03-01
1812016,732020,732020,607986,15469,108565,142394,142394,7590,9711,30623,49659,44811,427722,242337,26570,42865,172902,63841,34041,11035,12190,6575,39622,7368,9415,6417,16422,81922,43972,21063,16887,173232,89618,14152,5897,69569,36662,8845,19541,5893,2383,46952,17914,5320,23718,336648,4,2009,2009-04-01
1810333,731303,731303,606587,15188,109528,144042,144042,7775,9641,30905,50423,45298,431814,244947,26916,43373,174658,64594,34489,11193,12305,6607,40167,7418,9736,6323,16690,82106,43601,21231,17274,172094,88866,14078,5947,68841,36545,8821,19519,5847,2358,46683,17846,5304,23533,331080,5,2009,2009-05-01
1853218,749991,749991,621453,15894,112644,146897,146897,8029,9996,31035,51318,46519,442584,248559,27772,43108,177679,66588,35679,11571,12638,6700,41641,7602,10183,6640,17216,85796,45801,22281,17714,177180,91807,14862,6300,70645,37294,9025,19793,6015,2461,48079,18307,5430,24342,336566,6,2009,2009-06-01
1902560,762572,762572,631329,16093,115150,149095,149095,8090,10016,31637,52493,46859,454210,253885,28659,44411,180815,68329,36630,11869,13037,6793,43271,7758,10740,6866,17907,88725,47112,23621,17992,181812,94544,16433,6445,71666,38042,9142,20115,6147,2638,49226,18791,5559,24876,354871,7,2009,2009-07-01
1990226,811007,811007,670174,16731,124102,156289,156289,8459,10110,32864,54409,50447,474483,263766,30665,44837,188264,72555,39161,12493,13572,7329,45923,8311,11243,7245,19124,92239,48425,24500,19314,192446,100339,17592,6622,76125,39941,9483,21367,6374,2717,52166,20126,5791,26249,356001,8,2009,2009-08-01
2016376,819858,819858,677375,17348,125135,158329,158329,8566,10339,32735,55213,51476,484177,267839,31154,45410,191275,74507,40287,12743,13954,7523,47452,8491,11421,7792,19748,94379,49999,24734,19646,195612,102074,18211,6766,77097,40354,9543,21589,6513,2709,53184,20672,5799,26713,358400,9,2009,2009-09-01
2040405,829234,829234,683391,17773,128070,159086,159086,8667,10447,32541,55929,51502,494308,271876,31883,46006,193987,76049,41016,13178,14307,7548,48572,8676,11628,7853,20415,97811,52089,25345,20377,199010,103421,18341,7021,78059,41301,9777,22137,6633,2754,54288,21085,5923,27280,358767,10,2009,2009-10-01
2066134,841894,841894,692032,18000,131862,160073,160073,8720,10491,32761,56382,51719,501442,276086,32357,46243,197486,76708,40779,13546,14565,7818,49541,8777,11906,7789,21069,99107,52427,26042,20638,203147,105189,19145,7162,78882,42221,9934,22761,6726,2800,55737,21433,6004,28300,359578,11,2009,2009-11-01
2088299,848287,848287,696909,17607,133771,163547,163547,9014,10381,33803,57991,52358,510593,280478,32849,47848,199781,79805,42965,13815,14965,8060,50293,8902,11933,7924,21534,100017,52801,26246,20970,205770,106572,19950,7191,79431,42838,10039,23159,6847,2793,56360,21651,6035,28674,360102,12,2009,2009-12-01
2116721,859585,859585,705153,17698,136734,167452,167452,9095,10583,35257,59010,53507,518949,283876,34042,49508,200326,81251,43739,14102,15383,8027,51540,9015,12035,8235,22255,102282,53872,27074,21336,207891,107127,20231,7237,79659,43329,10138,23512,6855,2824,57435,22054,6176,29205,362844,1,2010,2010-01-01
2133644,865083,865083,709139,17936,138008,168735,168735,8949,10537,35766,59461,54022,522202,284698,34316,49533,200849,82108,43966,14227,15682,8233,51890,9040,11971,8468,22411,103506,54692,27384,21430,210403,108891,20846,7296,80749,43631,10126,23776,6886,2843,57881,22266,6174,29441,367221,2,2010,2010-02-01
2181022,880668,880668,720843,18147,141678,172019,172019,8986,10726,36444,60388,55475,532958,290336,34224,51132,204980,83467,44936,14427,15791,8313,53033,9119,12248,8666,23000,106122,56250,27945,21927,214272,110915,21524,7396,81995,44323,10092,24337,6971,2923,59034,22817,6195,30022,381105,3,2010,2010-03-01
2220654,892793,892793,729503,18720,144570,174783,174783,9220,11085,37108,61203,56167,545322,297802,35186,52067,210549,83765,44601,14568,16163,8433,53867,9287,12395,8820,23365,109888,58753,28872,22263,217061,112561,21482,7522,83557,44837,10163,24737,6998,2939,59663,22848,6312,30503,390695,4,2010,2010-04-01
2222231,893952,893952,731468,18304,144180,176314,176314,9239,10935,37039,61753,57348,546726,301057,35803,52147,213107,84832,45505,14618,16153,8556,53898,9370,12264,8453,23811,106939,56773,28252,21914,217724,113241,22131,7360,83750,45093,10182,24884,7026,3001,59390,22984,6379,30027,387515,5,2010,2010-05-01
2218190,888139,888139,724073,18340,145726,176215,176215,9168,10857,36962,62014,57214,548791,303248,36131,52130,214987,84753,45598,14607,16051,8497,53297,9247,11769,8471,23810,107493,57113,28472,21908,216297,113858,22206,7259,84393,44801,10139,24760,6930,2972,57638,21536,6303,29799,388748,6,2010,2010-06-01
2244244,902026,902026,733869,18447,149710,176818,176818,9250,10896,36653,62393,57626,553368,305831,36506,50575,218750,85292,46316,14817,15841,8318,54132,9428,12204,8551,23949,108113,57548,28859,21706,217677,114196,22584,7159,84453,44905,10167,24789,7006,2943,58576,22044,6391,30141,394355,7,2010,2010-07-01
2264526,907022,907022,737872,18487,150663,178908,178908,9296,10948,37147,63156,58361,562701,311751,37419,52013,222319,85979,46608,14914,16017,8440,55393,9592,12719,8513,24569,109578,58302,29199,22077,219640,115090,23294,7333,84463,45337,10298,24962,7047,3030,59213,22372,6430,30411,396255,8,2010,2010-08-01
2292014,919744,919744,747512,19132,153100,179364,179364,9409,11270,37443,62387,58855,572186,315415,38178,52118,225119,88155,48111,15107,16428,8509,55737,9620,12924,8455,24738,112879,60692,29881,22306,221566,116261,23596,7351,85314,45751,10385,25238,7109,3019,59554,22330,6472,30752,399154,9,2010,2010-09-01
2307559,925255,925255,751874,19111,154270,181121,181121,9315,11314,37889,63480,59123,577449,318573,39170,52631,226772,88819,48400,15067,16673,8679,56602,9794,12738,8743,25327,113455,60861,30129,22465,222398,117387,23813,7151,86423,45317,10238,24883,7137,3059,59694,22112,6484,31098,401336,10,2010,2010-10-01
2335714,941859,941859,762986,19466,159407,181556,181556,9509,11503,38351,64026,58167,588997,324013,39332,53780,230901,90634,49306,15455,17037,8836,57570,9935,13001,8937,25697,116780,62542,30888,23350,227679,120297,24422,7257,88618,46472,10389,25829,7165,3089,60910,22730,6611,31569,395623,11,2010,2010-11-01
2364083,949196,949196,767634,19634,161928,184981,184981,9460,11575,39496,64866,59584,596667,328020,40457,54260,233303,92089,50182,15628,17327,8952,58461,9939,13221,9048,26253,118097,63093,31566,23438,230848,121856,25230,7426,89200,47213,10520,26275,7280,3138,61779,23055,6664,32060,402391,12,2010,2010-12-01
2366133,947809,947809,766259,19001,162549,186132,186132,9510,11406,40358,65037,59821,595110,326439,40373,54223,231843,92702,50704,15864,17105,9029,58590,9971,13412,9121,26086,117379,62158,31766,23455,231259,121901,25593,7357,88951,47419,10522,26462,7310,3125,61939,22987,6653,32299,405823,1,2011,2011-01-01
2382134,950156,950156,767694,19043,163419,187857,187857,9754,11530,40822,65721,60030,598963,327270,40525,54463,232282,93831,51222,16009,17534,9066,58888,10012,13429,9269,26178,118974,63103,32320,23551,232285,122457,26029,7420,89008,47534,10578,26566,7299,3091,62294,23158,6626,32510,412873,2,2011,2011-02-01
2409261,956780,956780,771696,19124,165960,190544,190544,9826,11642,41635,66741,60700,606942,332105,41219,55109,235777,95145,52129,16119,17591,9306,59447,10127,13233,9384,26703,120245,63906,32398,23941,235131,123632,26275,7432,89925,48064,10634,26879,7402,3149,63435,23820,6692,32923,419864,3,2011,2011-03-01
2442786,966369,966369,778834,19467,168068,193360,193360,9983,11982,42405,67271,61719,618034,337397,41267,55849,240281,97224,53256,16366,18136,9466,60524,10340,13590,9556,27038,122889,65577,33015,24297,238669,125535,26977,7492,91066,48578,10729,27174,7519,3156,64556,24263,6826,33467,426354,4,2011,2011-04-01
2411906,960985,960985,774126,19326,167533,190705,190705,9668,11038,42416,66795,60788,609643,334146,39823,55218,239105,94885,51042,16361,17910,9572,58796,9848,13214,9431,26303,121816,64555,32924,24337,231818,120971,23353,7483,90135,48008,10611,27096,7094,3207,62839,22863,6791,33185,418755,5,2011,2011-05-01
2446039,970564,970564,779707,19775,171082,192759,192759,9786,11929,42097,67281,61666,625239,342071,42278,56430,243363,98516,53908,16724,18280,9604,60657,10062,13717,9711,27167,123995,65769,33483,24743,238474,125053,25967,7592,91494,48673,10736,27293,7422,3222,64748,24287,6877,33584,419003,6,2011,2011-06-01
2480143,980372,980372,785621,20522,174229,197245,197245,9967,12422,43472,68824,62560,633846,345913,43082,55883,246948,99461,54348,16978,18659,9476,61541,10212,13879,9841,27609,126931,67526,34116,25289,243008,128132,26804,7602,93726,48972,10890,27310,7519,3253,65904,24677,6968,34259,425672,7,2011,2011-07-01
2501328,987044,987044,789740,20611,176693,198374,198374,10441,12483,44070,68622,62758,640942,349016,43618,56497,248901,101140,55297,17099,18764,9980,62405,10373,13999,9969,28064,128381,68450,34368,25563,259997,128525,26842,7762,93921,65654,10845,27453,24100,3256,65818,24387,7004,34427,414971,8,2011,2011-08-01
2503709,985717,985717,786125,20599,178993,199071,199071,10427,12487,44183,69154,62820,646853,352052,43863,57003,251186,102615,56078,17159,19190,10188,63025,10509,14217,10093,28206,129161,68818,34734,25609,253664,128484,27093,7756,93635,58354,10869,27489,16829,3167,66826,25051,7016,34759,418404,9,2011,2011-09-01
2505352,993791,993791,791510,20761,181520,196853,196853,10131,12373,43700,67936,62713,642345,349961,41864,56950,251147,101307,55171,17258,18827,10051,62275,10352,14178,9786,27959,128802,68771,34438,25593,241260,125325,23450,7698,94177,48899,10827,27576,7191,3305,67036,25025,7050,34961,431103,10,2011,2011-10-01
2512669,996795,996795,792345,20861,183589,197774,197774,10178,12487,44276,68530,62303,645492,351883,42491,56708,252684,100889,54743,17366,18686,10094,62454,10327,14171,9782,28174,130266,69656,34845,25765,544214,125143,22988,7733,94422,351075,10909,27868,308998,3300,67996,25306,7164,35526,128394,11,2011,2011-11-01
2517423,996454,996454,790302,20879,185273,198688,198688,10285,12622,44891,68435,62455,647882,353237,42735,57231,253271,102389,55785,17411,18850,10343,62596,10365,14270,9888,28073,129660,68808,34814,26038,243020,125004,23408,7904,93692,49998,10987,28087,7617,3307,68018,25119,7241,35658,431379,12,2011,2011-12-01
2521387,996840,996840,789824,20819,186197,199943,199943,10115,12726,45501,69319,62282,648711,353428,43575,56344,253509,102851,56079,17579,18949,10244,62400,10258,14101,9946,28095,130032,68766,35223,26043,242988,125228,23430,7924,93874,50135,11093,28091,7644,3307,67625,25049,7177,35399,432905,1,2012,2012-01-01
2536789,1003867,1003867,794802,20966,188099,203682,203682,10309,12974,46306,70129,63964,652308,355976,43575,58118,254283,102826,55188,17823,19168,10647,62959,10402,14302,10081,28174,130547,69176,35326,26045,243833,125496,23467,7977,94052,50451,11166,28150,7791,3344,67886,25063,7193,35630,433099,2,2012,2012-02-01
2574224,1016708,1016708,803938,21242,191528,206222,206222,10558,13129,47272,70328,64935,661768,360143,43941,58708,257494,104845,56330,18036,19556,10923,63712,10561,14638,10411,28102,133068,70542,36135,26391,248778,128548,24134,8123,96291,50809,11267,28725,7442,3375,69421,25783,7363,36275,440748,3,2012,2012-03-01
2588831,1018322,1018322,804106,21382,192834,208472,208472,10702,13290,47849,71221,65410,667950,365219,44391,59935,260893,105461,56795,18043,19635,10988,63935,10609,14645,10579,28102,133335,70823,36036,26476,249735,128937,24206,8173,96558,51457,11310,28954,7801,3392,69341,25822,7409,36110,444352,4,2012,2012-04-01
2604319,1026528,1026528,810183,21565,194780,209630,209630,10889,13343,48156,71692,65550,670391,366544,44692,59785,262067,105077,55990,18153,19776,11158,64813,10793,14940,10612,28468,133957,70978,36231,26748,252316,129743,24394,8159,97190,52049,11439,29411,7774,3425,70524,26410,7452,36662,445454,5,2012,2012-05-01
2626515,1032184,1032184,812985,21703,197496,211368,211368,11115,13528,48582,72119,66024,679776,370570,45384,59996,265190,108029,58410,18250,20062,11307,65226,10899,14897,10729,28701,135951,71886,36906,27159,253589,130149,24599,8229,97321,52527,11540,29667,7858,3462,70913,26364,7556,36993,449598,6,2012,2012-06-01
2532771,1002020,1002020,789612,21248,191160,202650,202650,10875,13063,46041,68706,63965,653391,357831,42917,57261,257653,102911,55238,17757,19426,10490,63666,10709,14524,10445,27988,128983,68404,34563,26016,246185,125818,23508,8061,94249,51286,11277,28909,7743,3357,69081,25701,7374,36006,428525,7,2012,2012-07-01
2635709,1034171,1034171,812172,21766,200233,212054,212054,11376,13569,49052,71717,66340,684559,374703,45203,60260,269240,109508,59519,18382,20183,11424,66030,10896,15205,10763,29166,134318,71188,36291,26839,254018,130198,24241,8235,97722,52633,11561,29850,7760,3462,71187,26460,7416,37311,450907,8,2012,2012-08-01
2666303,1046074,1046074,821481,21964,202629,213406,213406,11422,13797,49508,72102,66577,690827,378391,46003,60860,271528,110279,59673,18525,20456,11625,66562,11105,15342,10708,29407,135595,72238,36406,26951,256730,132042,24599,8315,99128,53038,11611,29971,7911,3545,71650,26652,7580,37418,459266,9,2012,2012-09-01
2659359,1041914,1041914,817889,22091,201934,212521,212521,11419,13685,49264,72004,66149,689944,377401,45966,60933,270502,109742,59044,18588,20456,11654,67205,11353,15425,10772,29655,135596,72431,36400,26765,255978,131344,24569,8419,98356,52878,11643,29769,7981,3485,71756,26845,7597,37314,459002,10,2012,2012-10-01
2675291,1043950,1043950,818330,22112,203508,213391,213391,11479,13936,49028,71919,67029,696519,381444,46421,62152,272871,110813,59899,18623,20714,11577,67745,11530,15594,10853,29768,136517,73261,36560,26696,256509,131745,24706,8463,98576,53088,11677,29919,7997,3495,71676,26847,7570,37259,464922,11,2012,2012-11-01
2688411,1045575,1045575,818375,22284,204916,214774,214774,11554,13997,49819,72253,67151,702178,384426,47222,62010,275194,112181,60586,18663,21036,11896,68393,11747,15701,10975,29970,137178,73880,36397,26901,257570,131887,24900,8446,98541,53656,11748,30501,8144,3263,72027,26941,7605,37481,468314,12,2012,2012-12-01
2690681,1047714,1047714,819155,22397,206162,217225,217225,11789,14086,50898,73036,67416,701984,384140,47517,63336,273287,111850,60030,18742,21149,11929,68736,11762,15743,10982,30249,137258,73728,36683,26847,257725,131721,24419,8434,98868,53769,11891,30551,8063,3264,72235,27036,7607,37592,466033,1,2013,2013-01-01
2708415,1050053,1050053,821283,22462,206308,219196,219196,11853,14106,51823,73559,67855,709770,388748,47409,64183,277156,114060,61390,19033,21348,12289,69295,11848,15848,11179,30420,137667,73304,37122,27241,258916,132197,24444,8409,99344,54271,11945,30688,8059,3579,72448,27164,7644,37640,470480,2,2013,2013-02-01
