Ano de Cobertura,Ingresos ARS Total,Ingresos ARS Autogestion,Ingresos ARS Privada,Ingresos ARS Publica,Gastos ARS Total,Gastos ARS Autogestion,Gastos ARS Privada,Gastos ARS Publica,Siniestralidad ARS Total,Siniestralidad ARS Autogestion,Siniestralidad ARS Privada,Siniestralidad ARS Publica
2007,2381661744.0,336570229.0,1385136299.0,659955216.0,1719767325.0,194489003.0,973545223.0,551733099.0,0.737615630900593,0.580303255916109,0.7312641473542008,0.847218830272882
2008,12258558889.0,1478327554.0,7817255641.0,2962975694.0,9869270716.0,1561558632.0,5695458805.0,2612253279.0,0.8050922465980903,1.032097523434477,0.7292507315081355,0.8907654186418623
2009,15225649669.0,3391476942.0,9600005614.0,2234167113.0,13535189361.0,3740985957.0,7721476650.0,2072726754.0,0.8889728619303621,1.2396545312293532,0.7990574928499881,0.9687857901203926
2010,20017278082.140003,2209335215.7399993,13056358446.210001,4751584420.1900015,18477437875.699997,2636502743.8799987,10435698484.329996,5405236647.49,0.9230744459800506,1.3481640812434876,0.7944178485782656,1.1292183294868894
2011,22354692159.17,1566079344.1999993,15489244670.77,5299368144.200001,20062748973.30001,1213666159.9399993,12967221097.670012,5881861715.6900015,0.8974737308145028,0.7749710539474465,0.8371758193051634,1.109917551609907
2012,25479956718.51,1581737727.1799996,18127187417.109997,5771031574.22,22215762752.37,1565558548.8400002,15372058454.809998,5278145748.72,0.8718916989459125,0.9897712635527481,0.8480112276160685,0.9145931157781584
2013,27882205477.25,1583234297.7699993,20508537718.84,5790433460.639999,24571481779.34999,1991142925.1999998,17557153429.359993,5023185424.789998,0.8812603364320898,1.2576426167652783,0.8560899694584884,0.8674973055013399
2014,31170212066.94001,1665625874.9699998,23594722863.10001,5909863328.869999,26823936199.269997,1496602963.98,20292613927.78,5034719307.509999,0.8605631601627827,0.8985228834818358,0.8600488357299502,0.8519180609330043
2015,34399435635.72998,1940602501.4099998,26364400197.519985,6094432936.799999,29567731024.269993,1680141028.770001,22274764572.36999,5612825423.13,0.8595411662381636,0.865783192358686,0.8448803843625962,0.9209758284873545
2016,39576299817.979996,2055561384.4699988,29831027160.88,7689711272.630001,34276114130.989998,1870570375.0200007,25752649197.66,6652894558.309999,0.8660767754598913,0.9100046289798853,0.8632840250111022,0.8651683167857882
2017,43303077248.799995,1976361533.7099998,31561945872.619995,9764769842.47,37716167541.87999,1828990574.14,27198190415.23999,8688986552.500002,0.8709812313148062,0.9254331977948606,0.861739973986662,0.889830143738659
2018,50188825576.939995,2058116319.7700002,35536934552.76,12593774704.409998,42804399716.55002,2017084590.5299997,29966743815.07002,10820571310.949999,0.8528671317668198,0.9800634547008568,0.8432562963634304,0.8592000067430878
2019,54180854258.020004,2260396241.17,37551633341.810005,14368824675.04,48029276821.53999,2423338550.2400002,32601220692.069996,13004717579.229998,0.8864621549305042,1.0720857282020873,0.8681705105959208,0.9050648103334725
2020,60195837901.990005,2672073519.9999995,40635515463.37,16888248918.620003,49660383712.57,2279989846.7100005,32537199187.569996,14843194678.289999,0.8249803548449034,0.8532661356974942,0.8007084152014743,0.8789066734991544
2021,64049897468.92001,3307090683.69,42359394420.66,18383412364.570007,58956339932.51999,3190256423.4600005,37477704244.35999,18288379264.699993,0.920475164868583,0.9646715885941061,0.8847554304525407,0.9948304972991212
2022,76678782618.24002,4104002853.73,48910501674.460014,23664278090.050003,66829118258.29001,3529214668.070001,40912355025.11001,22387548565.110004,0.8715464170970417,0.8599444965937117,0.8364738374064468,0.9460482369214205
2023,79931708374.87,4253560643.5699997,47915296752.049995,27762850979.250004,70613537139.20001,3801559065.0800004,40947239734.240005,25864738339.880005,0.8834233444383687,0.8937357154709247,0.8545755220119372,0.9316312060029911
